resource_name,resource_type
AEEC_ANTLP_1,DSL
AEEC_ANTLP_2,DSL
AEEC_ANTLP_3,DSL
AEEC_ELK_1,SCGT90
AEEC_ELK_2,SCGT90
AEEC_ELK_3,SCGT90
AGUAYO_UNIT1,WIND
AJAXWIND_UNIT1,WIND
AJAXWIND_UNIT2,WIND
ALGODON_UNIT1,WIND
ALGODON_UNIT2,WIND
ALVIN_UNIT1,PWRSTR
AMADEUS1_UNIT1,WIND
AMADEUS1_UNIT2,WIND
AMADEUS2_UNIT3,WIND
AMISTAD_AMISTAG1,HYDRO
AMISTAD_AMISTAG2,HYDRO
AMOCOOIL_CC1_1,CCGT90
AMOCOOIL_CC2_9,CCGT90
ANACACHO_ANA,WIND
ANCHOR_BESS1,PWRSTR
ANCHOR_BESS2,PWRSTR
ANCHOR_WIND1,WIND
ANCHOR_WIND2,WIND
ANCHOR_WIND3,WIND
ANCHOR_WIND4,WIND
ANCHOR_WIND5,WIND
ANDMDSLR_UNIT1,PVGR
ANDMDSLR_UNIT2,PVGR
ANGLETON_UNIT1,PWRSTR
ANSON1_UNIT1,PVGR
ANSON1_UNIT2,PVGR
APOGEE_UNIT1,WIND
APOGEE_UNIT2,WIND
APOGEE_UNIT3,WIND
APOGEE_UNIT4,WIND
APOGEE_UNIT5,WIND
APOGEE_UNIT6,WIND
APOGEE_UNIT7,WIND
APPALOSA_UNIT1,WIND
APPALOSA_UNIT2,WIND
AQUILLA_U1_23,WIND
AQUILLA_U1_28,WIND
AQUILLA_U2_23,WIND
AQUILLA_U2_28,WIND
ARAGORN_UNIT1,PVGR
ASTRA_UNIT1,WIND
ATKINS_ATKINSG7,SCLE90
AUSTPL_AUSTING1,HYDRO
AUSTPL_AUSTING2,HYDRO
AVIATOR_UNIT1,WIND
AVIATOR_UNIT2,WIND
AZURE_BESS1,PWRSTR
AZURE_SOLAR1,PVGR
AZURE_SOLAR2,PVGR
AZ_AZ_G1,SCLE90
AZ_AZ_G2,SCLE90
AZ_AZ_G3,SCLE90
AZ_AZ_G4,SCLE90
BAC_CTG1,SCLE90
BAC_CTG2,SCLE90
BAC_CTG3,SCLE90
BAC_CTG4,SCLE90
BAC_CTG5,SCLE90
BAC_CTG6,SCLE90
BAFFIN_UNIT1,WIND
BAFFIN_UNIT2,WIND
BAIRDWND_UNIT1,WIND
BAIRDWND_UNIT2,WIND
BARROW_UNIT1,WIND
BARROW_UNIT2,WIND
BASTEN_CC1_1,CCGT90
BATCAVE_BES1,PWRSTR
BBREEZE_UNIT1,WIND
BBREEZE_UNIT2,WIND
BCATWIND_WIND_1,WIND
BCH_UNIT1,SCLE90
BCH_UNIT2,SCLE90
BCH_UNIT3,SCLE90
BCH_UNIT4,SCLE90
BCH_UNIT5,SCLE90
BCH_UNIT6,SCLE90
BCK_UNIT1,PVGR
BCK_UNIT2,PVGR
BIG_STAR_BESS,PWRSTR
BIG_STAR_UNIT1,PVGR
BIG_STAR_UNIT2,PVGR
BLACKJAK_UNIT1,WIND
BLACKJAK_UNIT2,WIND
BLSUMIT3_UNIT_17,WIND
BLSUMIT3_UNIT_25,WIND
BLSUMMIT_BATTERY,PWRSTR
BLSUMMIT_BLSMT1_5,WIND
BLSUMMIT_BLSMT1_6,WIND
BLSUMMIT_UNIT2_17,WIND
BLSUMMIT_UNIT2_25,WIND
BLUEJAY_BESS1,PWRSTR
BLUEJAY_UNIT1,PVGR
BLUEJAY_UNIT2,PVGR
BOARDCRK_UNIT1,WIND
BOARDCRK_UNIT2,WIND
BOOTLEG_UNIT1,PVGR
BORDAS2_JAVEL2_A,WIND
BORDAS2_JAVEL2_B,WIND
BORDAS2_JAVEL2_C,WIND
BORDAS_JAVEL18,WIND
BORDAS_JAVEL20,WIND
BOSQUESW_CC1_2,CCGT90
BOSQUESW_CC2_4,CCGT90
BRANDON_UNIT1,SCLE90
BRAUNIG_CC1_1,CCGT90
BRAUNIG_VHB1,GSREH
BRAUNIG_VHB2,GSREH
BRAUNIG_VHB3,GSREH
BRAUNIG_VHB6CT5,SCLE90
BRAUNIG_VHB6CT6,SCLE90
BRAUNIG_VHB6CT7,SCLE90
BRAUNIG_VHB6CT8,SCLE90
BRAZORIA_UNIT1,PWRSTR
BRAZ_WND_WND1,WIND
BRAZ_WND_WND2,WIND
